bengali,bishnupriya,kind,uses,screens
আমাদের সম্পর্কে,,ui,1,SiteFooter.kt
আমার ড্যাশবোর্ড,,ui,1,UserDashboardScreen.kt
আমি নিংশিং চে AI...,,ui,1,NinghsingCheAiAssistant.kt
আরও,,ui,1,MusicPlayer.kt
আরতী,,ui,1,MusicGenres.kt
আর্কাইভ,,content,1,NinghsingCheContentData.kt
"আসাম, ভারত",,content,1,NinghsingCheContentData.kt
ইউনিকোড,,content,1,NinghsingCheContentData.kt
ইঞ্চৌঘর ও মণিপুরি লোকস্থাপত্য সমীক্ষা,,content,1,NinghsingCheContentData.kt
ইঞ্চৌঘরের স্থাপত্যরীতিতে বাঁশ ও কাঠের ব্যবহার কীভাবে হয়?,,ui,1,NinghsingCheAiAssistant.kt
ইনস্টল্ড ডিভাইস থেকে সরাসরি সংগৃহীত অফিশিয়াল প্যাকেজ,,ui,1,SettingsScreen.kt
ইন্টারনেট সংযোগ নেই।,,ui,1,MusicController.kt
ইন্টারনেট সংযোগ নেই। সংরক্ষিত আর্কাইভ দেখানো হচ্ছে।,,ui,1,PortalModels.kt
ইন্টারনেট সংযোগ যাচাই করে আবার চেষ্টা করুন। আপনার মন্তব্য মুছে ফেলা হয়নি।,,ui,1,ReaderViewModels.kt
ইমন,,content,1,AuthorProfiles.kt
ইমার,,ui,1,NingshingCheWebsiteClient.kt
ইমার ঠারর এলা,,ui,1,NingshingCheWebsiteClient.kt
ইমার-ঠারর-এলা,,ui,1,EditorialComponents.kt
ইমেইল (ঐচ্ছিক),,ui,1,ArticleCommentForm.kt
ইমেইল (পরিবর্তন করা যায় না),,ui,1,UserProfileScreen.kt
উচ্চতা,,ui,1,PdfViewerScreen.kt
উত্তম,,content,1,AuthorProfiles.kt
উত্তর কপি করা হয়েছে,,ui,1,ArticleScreen.kt
"উত্তর-পূর্ব ভারতের মণিপুরি জনজাতির বাস্তুসংস্থান, ইঞ্চৌঘরের স্থাপত্য ও পৌরাণিক লোকগাথা সংক্রান্ত গবেষণার জন্য সমাদৃত।",,content,1,NinghsingCheContentData.kt
উপর-নিচ স্ক্রল করে পুরো বই পড়ুন।,,ui,1,PdfViewerScreen.kt
এআই সহায়িকা,,ui,1,ArticleScreen.kt
এই অডিও ফর্ম্যাট সাপোর্টেড নয়। এমপি৩ নির্বাচন করুন।,,ui,1,SupabaseClient.kt
এই গানের লিরিক এখনো যোগ করা হয়নি।,,ui,1,MusicPlayer.kt
এই ডিভাইসে কোনো Google অ্যাকাউন্ট পাওয়া যায়নি। একটি Google অ্যাকাউন্ট যোগ করে আবার চেষ্টা করুন।,,ui,1,GoogleAuthMapper.kt
এই ডিভাইসে সংরক্ষিত MP3,,ui,1,MusicScreen.kt
এই নিবন্ধ থেকে কী কী মূল বিষয় বা শিক্ষা পাওয়া যায়?,,ui,1,ArticleScreen.kt
এই নিবন্ধ সম্পর্কে প্রশ্ন লিখুন...,,ui,1,ArticleScreen.kt
এই নিবন্ধে এই বিষয়ে কোনো তথ্য উল্লেখ করা হয়নি। নিংশিং চে মূল এআই সহায়িকায় প্রশ্নটি জিজ্ঞাসা করতে পারেন।,,ui,1,NinghsingCheAiAssistant.kt
এই নিবন্ধে লেখকের মূল বক্তব্য ও লক্ষ্য কী?,,ui,1,ArticleScreen.kt
এই নিবন্ধের একটি সংক্ষিপ্ত ও গোছানো সারসংক্ষেপ দিন।,,ui,1,ArticleScreen.kt
এই নিবন্ধের মূল বার্তা বা সিদ্ধান্ত কী?,,ui,1,NinghsingCheAiAssistant.kt
এই প্রবন্ধে কোনো বিষয়বস্তু পাওয়া যায়নি।,,ui,1,HtmlArticleRenderer.kt
এই বইয়ের পিডিএফ লিংক নেই।,,ui,1,MainViewModels.kt
এই …-এ কোনো গান নেই।,,ui,1,MusicBrowseScreens.kt
এক দশকের সাহিত্যিক অভিযাত্রা এবং ঐতিহাসিক গবেষণা সংকলন।,,content,1,NinghsingCheContentData.kt
এক পাতায় একটি পৃষ্ঠা। বাঁদিকে/ডানদিকে সোয়াইপ করলে পাতা উল্টে।,,ui,1,PdfViewerScreen.kt
"একটি সাংস্কৃতিক আন্দোলনের এক দশকের পথপরিক্রমা, প্রাপ্তি ও আগামী দিনের ডিজিটাল রূপকল্প।",,content,1,NinghsingCheContentData.kt
এখন নয়,,ui,1,WelcomeOnboardingScreen.kt
এখন বাজছে,,ui,1,MusicPlayer.kt
এখনো কোনো গান জমা দেননি।,,ui,1,UserDashboardScreen.kt
এখনো কোনো গান পছন্দ করা হয়নি।,,ui,1,MusicScreen.kt
এখনো কোনো নির্বাচিত লেখা নেই।,,ui,1,ExploreScreen.kt
এখনো কোনো প্রবন্ধ জমা দেওয়া হয়নি।,,ui,1,UserDashboardCharts.kt
এখনো কোনো প্রবন্ধ জমা দেননি।,,ui,1,UserDashboardScreen.kt
এখনো কোনো প্রবন্ধ প্রকাশিত হয়নি।,,ui,1,HomeScreen.kt
এখনো কোনো প্রবন্ধ বা গান জমা দেননি।,,ui,1,UserDashboardScreen.kt
এখনো কোনো বার্ষিক সংখ্যা প্রকাশিত হয়নি।,,ui,1,ExploreScreen.kt
এখনো কোনো বিজ্ঞপ্তি নেই। প্রবন্ধ বা মন্তব্য প্রকাশিত হলে এখানে দেখাবে।,,ui,1,UserDashboardScreen.kt
এখনো কোনো ভিডিও প্রকাশিত হয়নি।,,ui,1,VideosScreen.kt
এখনো কোনো মন্তব্য নেই,,ui,1,ArticleScreen.kt
এখনো কোনো সামাজিক কার্যকলাপের লেখা প্রকাশিত হয়নি।,,ui,1,PortalPages.kt
এগুলোও পড়ুন,,ui,1,ArticleScreen.kt
এপ্রিল,,ui,1,UserDashboardCharts.kt
এমপি৩ ফাইল নির্বাচন করুন।,,ui,1,ReaderWorkspaceViewModel.kt
এলাহান বরিক,,ui,1,NewMusicScreen.kt
ঐতিহাসিক গবেষণা প্রকাশনা (২০২৩),,content,1,NinghsingCheContentData.kt
ঐতিহাসিক ৩য় মুদ্রণ (২০১৬),,content,1,NinghsingCheContentData.kt
"ঐতিহাসিক ৩য় মুদ্রণ সংখ্যা, প্রামাণ্য দলিল ও সমাজ সংস্কারের ইতিবৃত্ত।",,content,1,NinghsingCheContentData.kt
ঐতিহ্যবাহী,,ui,1,MusicGenres.kt
ঐতিহ্যবাহী ইঞ্চৌঘরের বিভিন্ন অংশের নাম ও সামাজিক তাৎপর্য কী?,,ui,1,NinghsingCheAiAssistant.kt
"ঐতিহ্যবাহী মণিপুরি সমাজব্যবস্থা, লোকাচার, নৃত্যকলা, রাসলীলা, পোশাক-পরিচ্ছদ ও লোকসংগীত।",,content,1,NinghsingCheContentData.kt
ওয়েবসাইট (ঐচ্ছিক),,ui,1,UserProfileScreen.kt
কন্টেন্ট,,ui,1,UserDashboardScreen.kt
কপি করুন,,ui,1,ArticleScreen.kt
কপিরাইট © নিংশিং চে • সর্বস্বত্ব সংরক্ষিত,,ui,1,SettingsScreen.kt
কবি ও জীবনীকার,,content,1,NinghsingCheContentData.kt
"কবিতা, লোকগাথা, নাটক ও প্রাচীন পাণ্ডুলিপি সংকলন।",,content,1,NinghsingCheContentData.kt
কমা বা ট্যাব চাপলে চিপ হবে,,ui,1,GenreCombobox.kt
"করোনাকালের স্মৃতিচারণ, লোকঔষধ ও মণিপুরি লোকগাথার প্রামাণ্য রূপ।",,content,1,NinghsingCheContentData.kt
কাজল,,content,1,AuthorProfiles.kt
কাঞ্চন,,content,1,AuthorProfiles.kt
কার্যক্রম,,ui,1,UserDashboardCharts.kt
কুঙ্গ,,content,1,AuthorProfiles.kt
কুমেই,,ui,1,NingshingCheWebsiteClient.kt
কৃত্রিম বুদ্ধিমত্তা,,content,1,NinghsingCheContentData.kt
কেহেম আইটি,,ui,1,SiteFooter.kt
কোন মন্তব্য,,ui,1,NingshingCheWebsiteClient.kt
কোনো অ্যালবাম নেই।,,ui,1,MusicScreen.kt
কোনো অ্যালবাম মেলেনি।,,ui,1,MusicScreen.kt
কোনো গান অ্যাপে সংরক্ষণ করা হয়নি।,,ui,1,MusicScreen.kt
কোনো গান মেলেনি।,,ui,1,MusicScreen.kt
কোনো তথ্য পাওয়া যায়নি।,,ui,1,PortalModels.kt
কোনো ধরন নেই।,,ui,1,MusicScreen.kt
কোনো ধরন মেলেনি।,,ui,1,MusicScreen.kt
কোনো ফিচার্ড প্রবন্ধ পাওয়া যায়নি।,,ui,1,PortalPages.kt
কোনো বিভাগ পাওয়া যায়নি।,,ui,1,ExploreScreen.kt
কোনো মিল পাওয়া যায়নি,,ui,1,BookmarksScreen.kt
কোনো শিল্পী নেই।,,ui,1,MusicScreen.kt
কোনো শিল্পী মেলেনি।,,ui,1,MusicScreen.kt
কোনো সংরক্ষিত প্রবন্ধ নেই,,ui,1,BookmarksScreen.kt
ক্যাটাগরির প্রবন্ধহানি,,ui,1,ListScreens.kt
ক্যাশ খালি করা হয়েছে এবং তথ্য হালনাগাদ করা হয়েছে,,ui,1,SettingsScreen.kt
খোঁজার ফলাফল,,ui,1,MusicScreen.kt
গবেষণা,,content,1,NinghsingCheContentData.kt
গল্প,,content,1,NinghsingCheContentData.kt
গান · …,,ui,1,UserDashboardScreen.kt
গান আপলোড যায়নি (…)।,,ui,1,SatoruUploadClient.kt
গান জমা যায়নি (…)। প্রোফাইল সম্পূর্ণ করে আবার চেষ্টা করুন।,,ui,1,SupabaseClient.kt
গান জমা যায়নি।,,ui,1,ReaderWorkspaceViewModel.kt
গান জমা যায়নি। আবার সাইন ইন করে চেষ্টা করুন।,,ui,1,SupabaseClient.kt
গান জমা হয়েছে,,ui,1,NewMusicScreen.kt
গান জমা হয়েছে। সম্পাদকীয় পর্যালোচনার পর যুক্ত হবে।,,ui,1,ReaderWorkspaceViewModel.kt
গান বাজানো যায়নি। ফাইল লিংক যাচাই করুন।,,ui,1,MusicController.kt
গান যোগ,,ui,1,UserDashboardScreen.kt
"গান, শিল্পী, অ্যালবাম, ধরন…",,ui,1,MusicBrowseScreens.kt
গানের ফাইল পাওয়া যায়নি।,,ui,1,MusicController.kt
গানের ফাইল লিংক নেই।,,ui,1,MusicLibraryStore.kt
গানের বিবরণ,,ui,1,MusicPlayer.kt
গানের লিংক মেয়াদ শেষ বা বন্ধ। ড্যাশবোর্ড থেকে MP3 আবার আপলোড করুন।,,ui,1,MusicController.kt
গাফফার,,content,1,AuthorProfiles.kt
গীতশ্রী,,content,1,AuthorProfiles.kt
গৃহ,,ui,1,NinghsingCheAiAssistant.kt
গোকুলানন্দ গীতিস্বামী,,content,1,NinghsingCheContentData.kt
গোত্র,,content,1,NinghsingCheContentData.kt
গোপনীয়তা নীতি,,ui,1,SiteFooter.kt
গ্যালারি ও অন্যান্য আপডেট,,ui,1,AppNotificationManager.kt
গ্যালারি ও বাকি আপডেট,,ui,1,SettingsScreen.kt
গ্রন্থাগার,,ui,1,PdfViewerScreen.kt
চন্দ্র মোহন,,content,1,AuthorProfiles.kt
চলচ্চিত্র,,ui,1,MusicGenres.kt
চৈত্র সংক্রান্তি ও বৈশাখের মিলনে উদযাপিত বিষ্ণুপ্রিয়া মণিপুরিদের ঐতিহ্যবাহী 'বিশু' উৎসবের পুণ্য আচার ও সামাজিক মিলনমেলা।,,content,1,NinghsingCheContentData.kt
ছবি আপডেট,,ui,1,UserProfileScreen.kt
ছবি আপলোড হচ্ছে…,,ui,1,HtmlContentEditor.kt
ছবি আপলোড হয়নি।,,ui,1,HtmlContentEditor.kt
ছবি বা পিডিএফ,,ui,1,UserDashboardScreen.kt
ছবি যোগ,,ui,1,HtmlContentEditor.kt
ছবি লোড করা যায়নি,,ui,1,HtmlArticleRenderer.kt
ছবি সংরক্ষণ যায়নি।,,ui,1,ReaderWorkspaceViewModel.kt
ছবির আকার ৩২ মেগাবাইটের বেশি হতে পারবে না (Exceeds 32MB limit: …MB),,ui,1,ImgBbUploader.kt
ছবির আকার ৩২ মেগাবাইটের বেশি হতে পারবে না (Image exceeds 32MB),,ui,1,ImgBbUploader.kt
ছবির ফাইল পড়া যাচ্ছে না (Cannot read image file),,ui,1,ImgBbUploader.kt
জনপ্রিয় ও নির্বাচিত,,ui,1,Screen.kt
জানু,,ui,1,UserDashboardCharts.kt
জিজ্ঞাসা করুন,,ui,1,AiAssistantScreen.kt
জিতেন্দ্র,,content,1,AuthorProfiles.kt
জুন,,ui,1,UserDashboardCharts.kt
জুম করতে দুই আঙুল ব্যবহার করুন,,ui,1,HtmlArticleRenderer.kt
জুম রিসেট করতে ট্যাপ করুন,,ui,1,HtmlArticleRenderer.kt
জুলাই,,ui,1,UserDashboardCharts.kt
জেলা / দেশ (ঐচ্ছিক),,ui,1,UserProfileScreen.kt
"জ্ঞান, ইতিহাস ও সাহিত্যের মুক্ত তথ্যকোষ",,ui,1,SplashScreen.kt
ট্যাগসমূহ,,ui,1,ArticleScreen.kt
ঠার,,ui,1,NingshingCheWebsiteClient.kt
ঠিকানা,,ui,1,UserProfileScreen.kt
ঠিকানা দিন।,,ui,1,ReaderWorkspaceViewModel.kt
"ঠিকানা: তিলকপুর, কমলগঞ্জ, মৌলভীবাজার, সিলেট",,ui,1,PortalPages.kt
ড.,,content,1,AuthorProfiles.kt
ড. প্রদীপ সিংহ ও সুজিত সিংহ,,content,1,NinghsingCheContentData.kt
ডা.,,content,1,AuthorProfiles.kt
ডাউনলোড ব্যর্থ হয়েছে: …,,ui,1,MainViewModels.kt
ডাউনলোড হয়নি,,ui,1,PdfArchiveScreen.kt
ডাকনাম,,ui,1,NinghsingCheAiAssistant.kt
ডার্ক থিম,,ui,1,SettingsScreen.kt
ডিজিটাল আর্কাইভ ও প্রযুক্তি সংগ্রাহক,,content,1,NinghsingCheContentData.kt
ডিজিটাল গ্রন্থাগার,,ui,1,PdfArchiveScreen.kt
ডিজিটাল বই ও পত্রিকা প্রকাশিত হলে,,ui,1,SettingsScreen.kt
"ডিজিটাল মাধ্যমে বিষ্ণুপ্রিয়া মণিপুরি ইউনিকোড ফন্ট, তথ্যকোষ এবং অনলাইন লাইব্রেরি তৈরিতে গুরুত্বপূর্ণ অবদান রাখছেন।",,content,1,NinghsingCheContentData.kt
ডিজিটাল যুগে ভাষা সংরক্ষণ: ইউনিকোড ও ওপেন নলেজ আর্কাইভ,,content,1,NinghsingCheContentData.kt
ডিভাইসে সফলভাবে ডাউনলোড হয়েছে: …,,ui,1,ApkManager.kt
ডিসে,,ui,1,UserDashboardCharts.kt
ডেটাবেজ আপডেট প্রয়োজন।,,ui,1,PortalRepository.kt
ডেটাবেজ টেবিল পাওয়া যায়নি। অনুগ্রহ করে সার্ভার কনফিগারেশন যাচাই করুন।,,ui,1,PortalRepository.kt
ড্যাশবোর্ড ও নতুন প্রবন্ধ ব্যবহার করতে প্রোফাইলের সব আবশ্যক ঘর পূরণ করুন।,,ui,1,UserProfileScreen.kt
"ঢাকা, বাংলাদেশ",,content,1,NinghsingCheContentData.kt
তথ্য লোড করতে সমস্যা হয়েছে।,,ui,1,ReaderViewModels.kt
তথ্য লোড করতে সমস্যা হয়েছে। অনুগ্রহ করে আবার চেষ্টা করুন।,,ui,1,PortalModels.kt
"তথ্যকোষের উদ্দেশ্য, পরিকল্পনা ও বিষ্ণুপ্রিয়া মণিপুরি সাহিত্যের পটভূমি সংক্রান্ত সামগ্রিক ভূমিকা।",,content,1,NinghsingCheContentData.kt
তথ্যসূত্র ও গবেষণা প্রবন্ধ:,,ui,1,AiAssistantScreen.kt
তাক …,,ui,1,PdfArchiveScreen.kt
"তিলকপুর, কমলগঞ্জ, মৌলভীবাজার, সিলেট",,ui,1,SiteFooter.kt
তৈরি,,ui,1,MusicScreen.kt
তৈরি করুন,,ui,1,MusicPlayer.kt
"ত্রিপুরা, ভারত",,content,1,NinghsingCheContentData.kt
থাঙ,,content,1,AuthorProfiles.kt
থাবল চোংবা,,content,1,NinghsingCheContentData.kt
থামান,,ui,1,NewMusicScreen.kt
থিম: ডার্ক,,ui,1,PortalDrawer.kt
থিম: লাইট,,ui,1,PortalDrawer.kt
থিম: সিস্টেম (স্বয়ংক্রিয়),,ui,1,PortalDrawer.kt
দিপা,,content,1,AuthorProfiles.kt
"দুঃখিত, উত্তর তৈরি করতে সমস্যা হয়েছে। অনুগ্রহ করে পুনরায় চেষ্টা করুন।",,ui,1,ArticleScreen.kt
"দুঃখিত, তথ্য সংগ্রহে একটি ত্রুটি দেখা দিয়েছে। অনুগ্রহ করে পুনরায় চেষ্টা করুন।",,ui,1,MainViewModels.kt
দুবার ট্যাপে জুম,,ui,1,PdfViewerScreen.kt
দৃশ্য,,ui,1,PdfViewerScreen.kt
দেখা হয়েছে,,ui,1,UserDashboardScreen.kt
দেবাঞ্জলি,,content,1,AuthorProfiles.kt
দেশাত্মবোধক,,ui,1,MusicGenres.kt
দ্বাদশ বর্ষ ১ম সংখ্যা (২০২৫),,content,1,NinghsingCheContentData.kt
দ্রুত লিংকসমূহ,,ui,1,SiteFooter.kt
ধরন / ক্যাটাগরি,,ui,1,GenreCombobox.kt
ধ্রুমেল,,ui,1,MusicGenres.kt
নতুন PDF বই প্রকাশিত হলে,,ui,1,AppNotificationManager.kt
নতুন ও নির্বাচিত প্রবন্ধ প্রকাশিত হলে,,ui,1,AppNotificationManager.kt
নতুন কিছু প্রকাশিত হলে অ্যান্ড্রয়েড নোটিফিকেশনে জানানো হবে।,,ui,1,WelcomeOnboardingScreen.kt
নতুন গান,,ui,1,NewMusicScreen.kt
নতুন ছবি,,ui,1,ContentNotice.kt
নতুন প্রকাশিত প্রবন্ধ এলে জানান,,ui,1,SettingsScreen.kt
নতুন প্রবন্ধসমূহ পুনরায় সিঙ্ক করবে,,ui,1,SettingsScreen.kt
নতুন ভিডিও যোগ হলে,,ui,1,AppNotificationManager.kt
নথি,,content,1,NinghsingCheContentData.kt
নবকুমার,,content,1,AuthorProfiles.kt
নববর্ষ,,content,1,NinghsingCheContentData.kt
নভে,,ui,1,UserDashboardCharts.kt
"নমস্কার! আমি এই নিবন্ধের এআই সহায়িকা।  📌 **""…""** নিবন্ধটির যেকোনো তথ্য, বিশ্লেষণ বা মূল ভাব সম্পর্কে জানতে নিচের দ্রুত প্রশ্ন বেছে নিন অথবা নিচে আপনার প্রশ্ন লিখুন।",,ui,1,ArticleScreen.kt
"নমস্কার! আমি নিংশিং চে AI সহকারী। বিষ্ণুপ্রিয়া মণিপুরি ভাষা, সাহিত্য, ঐতিহ্য ও সাধারণ জ্ঞানের প্রবন্ধ বিশ্লেষণ করে আমি সঠিক তথ্য প্রদান করি। ইঞ্চৌঘর, মিংকৌ, ভাষা আন্দোলন বা যেকোনো বিষয়ে প্রশ্ন করতে পারেন।",,ui,1,MainViewModels.kt
নাটক,,ui,1,EditorialComponents.kt
নাম,,ui,1,NinghsingCheAiAssistant.kt
নাম ও মন্তব্য আবশ্যক।,,ui,1,ReaderViewModels.kt
নাম লিখুন,,ui,1,MusicPlayer.kt
নামের প্রথম অংশ,,ui,1,UserProfileScreen.kt
নামের প্রথম ও শেষ অংশ পূরণ করুন।,,ui,1,ReaderWorkspaceViewModel.kt
নামের শেষ অংশ,,ui,1,UserProfileScreen.kt
নিংশিং চে APK ডাউনলোড (সরাসরি লোকাল প্যাকেজ),,ui,1,SettingsScreen.kt
নিংশিং চে APK ফাইল পাঠান / শেয়ার করুন,,ui,1,ApkManager.kt
নিংশিং চে PDF …,,ui,1,NingshingCheWebsiteClient.kt
নিংশিং চে অ্যাপ শেয়ার করুন,,ui,1,ReaderNavHost.kt
নিংশিং চে ডিজিটাল আর্কাইভে এ বিষয়ে আর কী কী তথ্য আছে?,,ui,1,NinghsingCheAiAssistant.kt
"নিংশিং চে তথ্যকোষে প্রকাশিত লেখক। … এর রচনাসমূহ ইতিহাস, সাহিত্য ও সংস্কৃতি বিষয়ে পাওয়া যায়।",,ui,1,NingshingCheWebsiteClient.kt
নিংশিং চে তথ্যকোষের জন্মলগ্নের ঐতিহাসিক প্রথম প্রকাশনা ও প্রতিষ্ঠাতা রূপরেখা।,,content,1,NinghsingCheContentData.kt
নিংশিং চে তথ্যকোষের লেখক ও গবেষকবৃন্দ,,ui,1,PortalPages.kt
"নিংশিং চে বিষ্ণুপ্রিয়া মণিপুরি ভাষা, সাহিত্য, ইতিহাস ও সংস্কৃতির ডিজিটাল তথ্যকোষ। পোর্টালটি তিলকপুর, কমলগঞ্জ, মৌলভীবাজার, সিলেট থেকে পরিচালিত।",,ui,1,PortalPages.kt
নিংশিং চে মুদ্রিত সংখ্যা ও স্মারকপত্র,,ui,1,PdfArchiveScreen.kt
নিংশিং চে সাহিত্য পর্ষদ,,content,1,NinghsingCheContentData.kt
নিংশিং চে — অষ্টম বর্ষ (২০২১),,content,1,NinghsingCheContentData.kt
নিংশিং চে — একাদশ বর্ষ (২০২৪),,content,1,NinghsingCheContentData.kt
নিংশিং চে — একাদশ বর্ষ শারদীয় সংখ্যা (২০২৪),,content,1,NinghsingCheContentData.kt
নিংশিং চে — দশম বর্ষ (২০২৩),,content,1,NinghsingCheContentData.kt
নিংশিং চে — দ্বাদশ বর্ষ (২০২৫),,content,1,NinghsingCheContentData.kt
নিংশিং চে — দ্বাদশ বার্ষিক সংখ্যা (২০২৫),,content,1,NinghsingCheContentData.kt
নিংশিং চে — নবম বর্ষ (২০২২),,content,1,NinghsingCheContentData.kt
নিংশিং চে — পঞ্চম বর্ষ (২০১৮),,content,1,NinghsingCheContentData.kt
নিংশিং চে — প্রারম্ভিক মুদ্রণ সংখ্যা (২০১৪),,content,1,NinghsingCheContentData.kt
নিংশিং চে — প্রারম্ভিক সংখ্যা (২০১৪),,content,1,NinghsingCheContentData.kt
নিংশিং চে — বিষ্ণুপ্রিয়া মণিপুরি ডিজিটাল তথ্যকোষ ও আর্কাইভ অ্যান্ড্রয়েড অ্যাপ (সংস্করণ …)। ইনস্টল করতে সরাসরি এই APK ফাইলটি ব্যবহার করুন।,,ui,1,ApkManager.kt
নিংশিং চে — বিষ্ণুপ্রিয়া মণিপুরি সাহিত্য ও সংস্কৃতি পোর্টাল https://ningshingche.com,,ui,1,ReaderNavHost.kt
নিংশিং চে — ষষ্ঠ বর্ষ (২০১৯),,content,1,NinghsingCheContentData.kt
নিংশিং চে — সপ্তম বর্ষ (২০২০),,content,1,NinghsingCheContentData.kt
নিংশিং চে — সুবর্ণ জয়ন্তী বিশেষ সংকলন,,content,1,NinghsingCheContentData.kt
নিংশিং চে — ৩য় সংখ্যা (২০১৬),,content,1,NinghsingCheContentData.kt
নিংশিং চে — ৩য় সংখ্যা মুদ্রণ সংস্করণ,,content,1,NinghsingCheContentData.kt
নিংশিং চে — …,,ui,1,ArticleRepository.kt
নিংশিং চে …,,ui,1,NingshingCheWebsiteClient.kt
নিংশিং চে-তে … সালে প্রকাশিত প্রবন্ধ ও সংখ্যা।,,ui,1,ArticleRepository.kt
"নিংশিং চে-র ঐতিহাসিক ৩য় মুদ্রণ সংখ্যা, যাতে স্থান পেয়েছিল বহু বিরল পাণ্ডুলিপি ও প্রাচীন কবিতা।",,content,1,NinghsingCheContentData.kt
নিংশিং চে-র নতুন সংস্করণ ইনস্টল আছে।,,ui,1,ContentUpdateNotifier.kt
"নিংশিং চে-র প্রথম পথচলা, তথ্যকোষের মূল রূপরেখা ও প্রতিষ্ঠাতা প্রবন্ধমালা।",,content,1,NinghsingCheContentData.kt
"নিংশিং চে-র মূল ভাবনা, সাংস্কৃতিক পথপরিক্রমা এবং সমকালীন সমাজ ভাবনার সম্পাদকীয় প্রতিফলন।",,content,1,NinghsingCheContentData.kt
নিংশিং চে-র সকল ডিজিটাল প্রকাশনা।,,ui,1,ArticleRepository.kt
নিংশিং চে-র সকল প্রকাশিত ডিজিটাল ও মুদ্রিত পিডিএফ প্রকাশনা।,,content,1,NinghsingCheContentData.kt
নিংশিং_চে_-_…,,ui,1,NingshingCheWebsiteClient.kt
নিংশিংচে …,,ui,1,IssueTags.kt
নিংশিংচে-,,ui,1,IssueTags.kt
নিংশিংচে-…,,ui,1,IssueTags.kt
নিংশিংচে.কম থেকে সংগৃহীত মূল ডিজিটাল সংস্করণ।,,ui,1,NingshingCheWebsiteClient.kt
নিংশিংচে.কম থেকে …টি প্রবন্ধ হালনাগাদ হয়েছে,,ui,1,ArticleRepository.kt
নিচে দাগ,,ui,1,HtmlContentEditor.kt
নিচে যান,,ui,1,UserDashboardScreen.kt
নিজস্ব প্রবন্ধ রচনা ও খসড়া সংরক্ষণ,,ui,1,SupabaseModels.kt
নিজের সম্পর্কে,,ui,1,UserProfileScreen.kt
নিজের সম্পর্কে সংক্ষিপ্ত পরিচিতি লিখুন।,,ui,1,ReaderWorkspaceViewModel.kt
নিবন্ধ থেকে উত্তর তৈরি করা হচ্ছে...,,ui,1,ArticleScreen.kt
নিবন্ধটিতে উল্লেখিত গুরুত্বপূর্ণ বিষয়গুলো সংক্ষেপে লিখুন,,ui,1,NinghsingCheAiAssistant.kt
নিবন্ধটির সবচেয়ে গুরুত্বপূর্ণ ৩টি প্রশ্নোত্তর তৈরি করে দিন।,,ui,1,ArticleScreen.kt
নিবন্ধিত পাঠক,,ui,1,ArticleCommentForm.kt
নিবন্ধের প্রথম অংশ থেকে প্রাপ্ত সারসংক্ষেপ:,,ui,1,NinghsingCheAiAssistant.kt
"নিয়মিত বার্ষিক সংখ্যা, শারদীয় ও বসন্ত উৎসব সংখ্যা।",,content,1,NinghsingCheContentData.kt
নির্বাচিত,,ui,1,EditorialComponents.kt
নির্বাচিত ফাইলটি কোনো বৈধ ছবি নয় (Not an image). Type: …,,ui,1,ImgBbUploader.kt
নির্বাচিত লেখা,,ui,1,ExploreScreen.kt
নুয়া লেখা,,ui,1,NingshingCheWebsiteClient.kt
নৃতাত্ত্বিক ও লোকসাহিত্য বিশারদ,,content,1,NinghsingCheContentData.kt
নৃত্যকলা,,content,1,NinghsingCheContentData.kt
প,,ui,1,ArticleCommentForm.kt
পঠন ইতিহাস মুছে ফেলা হয়েছে,,ui,1,SettingsScreen.kt
পঠন ইতিহাস রিসেট করুন,,ui,1,SettingsScreen.kt
পড়ার মতো কোনো লেখা পাওয়া যায়নি।,,ui,1,ArticleTtsPlayer.kt
পড়ুন,,ui,1,EditorialComponents.kt
পড়ে শোনানোর সময় ত্রুটি হয়েছে।,,ui,1,ArticleTtsPlayer.kt
পদবি / পরিচয় (ঐচ্ছিক),,ui,1,UserProfileScreen.kt
পরিবেশ,,content,1,NinghsingCheContentData.kt
পরের ছবি,,ui,1,EditorialComponents.kt
পরের পৃষ্ঠা,,ui,1,PdfViewerScreen.kt
পর্যালোচনায়,,ui,1,UserDashboardScreen.kt
পর্যালোচিত,,ui,1,UserDashboardScreen.kt
পলাশ,,content,1,AuthorProfiles.kt
পল্লী,,ui,1,MusicGenres.kt
পাকরিক,,ui,1,PdfArchiveScreen.kt
পাঠকের সেটিংস,,ui,1,PdfViewerScreen.kt
পাঠানো হয়েছে,,ui,1,UserDashboardScreen.kt
পাতা স্ন্যাপ,,ui,1,PdfViewerScreen.kt
পাতার ফাঁক  ·  … dp,,ui,1,PdfViewerScreen.kt
পালা-কীর্তন,,ui,1,MusicGenres.kt
পিডিএফ খালি এসেছে।,,ui,1,PdfHelper.kt
পিডিএফ খুলুন,,ui,1,PdfHelper.kt
পিডিএফ খোলা হচ্ছে…,,ui,1,PdfViewerScreen.kt
পিডিএফ ডাউনলোড হয়নি (…),,ui,1,PdfHelper.kt
পিডিএফ পড়া যায়নি।,,ui,1,UserDashboardScreen.kt
পিডিএফ পাঠক,,ui,1,PdfViewerScreen.kt
পিডিএফ বই,,ui,1,ArticleScreen.kt
পিডিএফ লিংক পাওয়া যায়নি।,,ui,1,PdfHelper.kt
পূর্ণ আকারের ছবি,,ui,1,HtmlArticleRenderer.kt
