key,value
গানের ফাইল পাওয়া যায়নি।,গানর ফাইল পানা নার অইল।
গানের ফাইল লিংক নেই।,গানর ফাইল মিলাপ নেই।
গানের বিবরণ,গানর বিবরণ
গানের লিংক মেয়াদ শেষ বা বন্ধ। ড্যাশবোর্ড থেকে MP3 আবার আপলোড করুন।,গানর মিলাপর মেয়াদ হাবি নাইলে বন্ধ। ড্যাশবোর্ডত্ত MP3 আরাকবার আপলোড কর।
গৃহ,ঘর
গোপনীয়তা নীতি,লুকরানির নীতিহান
গোলাপ,গোলাপ
গোলাপি আর নীল — উষ্ণ অথচ শান্ত,গোলাপি বারো নীল — উষ্ণ অথচ শান্ত
গ্যালারি ও অন্যান্য আপডেট,গ্যালারি বারো আরাক আপডেট
গ্যালারি ও বাকি আপডেট,গ্যালারি বারো বাকি আপডেট
গ্রন্থাগার,গ্রন্থাগার
ঘর,ঘর
চলচ্চিত্র,চলচ্চিত্র
চাকা ঘুরিয়ে নিজের অ্যাকসেন্ট বেছে নিন,চাকা ঘুরাইয়া নিজর অ্যাকসেন্ট বাছ
"চাকা ঘুরিয়ে রঙ, কেন্দ্র থেকে দূরে টেনে গাঢ়তা — দুটোই এক আঙুলে।","চাকা ঘুরাইয়া রঙ, কেন্দ্রত্ত দূরে টানিয়া গাঢ়ত্ব — দুইউ আক আঙুলে।"
চালান,বাজাউক
চালু করে শেষ করুন,চালু করিয়া শেষ কর
চোখে-আরাম,চোখে-আরাম
ছবি,ছবি
ছবি ImgBB-তে আপলোড হবে; না দিলেও আলোচনা খোলা যাবে।,ছবি ImgBB-ত আপলোড অইব; না দিলেউ য়্যারী খুলানি য়্যাকরব।
ছবি আপডেট,ছবি আপডেট
ছবি আপলোড যায়নি।,ছবি আপলোড নার অইল।
ছবি আপলোড হচ্ছে…,ছবি আপলোড অর…
ছবি আপলোড হয়নি।,ছবি আপলোড অইনি।
ছবি ঘর,ছবি ঘর
ছবি বদলান,ছবি বদল কর
ছবি বা পিডিএফ,ছবি বা পিডিএফ
ছবি যোগ,ছবি যোগ
ছবি যোগ করুন,ছবি যোগ কর
ছবি লোড করা যায়নি,ছবি লোড নার অইল
ছবি শেয়ার করুন,ছবি শেয়ার কর
ছবি সংরক্ষণ যায়নি।,ছবি ইতু করানি নার অইল।
ছবির আকার ৩২ মেগাবাইটের বেশি হতে পারবে না (Exceeds 32MB limit: {1}MB),ছবির আকার ৩২ মেগাবাইটত্ত বেশি অইতে পারব না (Exceeds 32MB limit: {1}MB)
ছবির আকার ৩২ মেগাবাইটের বেশি হতে পারবে না (Image exceeds 32MB),ছবির আকার ৩২ মেগাবাইটত্ত বেশি অইতে পারব না (Image exceeds 32MB)
ছবির আকার ৩২ মেগাবাইটের বেশি হতে পারে না।,ছবির আকার ৩২ মেগাবাইটত্ত বেশি অইতে পারব না।
ছবির ঠিকানা পাওয়া যায়নি।,ছবির ঠিকানা পানা নার অইল।
ছবির ফাইল পড়া যাচ্ছে না (Cannot read image file),ছবির ফাইল পড়ানি অর না (Cannot read image file)
ছেড়ে দিলে ছোট হয়ে যাবে,ছারিয়া দিলে হুরু অইব
ছোট করুন,হুরু কর
জনপ্রিয়,জনপ্রিয়
জনপ্রিয় ও নির্বাচিত,জনপ্রিয় বারো নির্বাচিত
জমা দিন,জমা দে
জানু,জানু
জানুয়ারি,জানুয়ারি
জিজ্ঞাসা করুন,প্রশ্ন কর
জীবনী,জীবনী
জুন,জুন
জুম করতে দুই আঙুল ব্যবহার করুন,জুম করানিরকা দুই আঙুল ব্যবহার কর
জুম রিসেট করতে ট্যাপ করুন,জুম রিসেট করানিরকা ট্যাপ কর
জুলাই,জুলাই
জেলা / দেশ (ঐচ্ছিক),জিলা / দেশ (ঐচ্ছিক)
"জ্ঞান, ইতিহাস ও সাহিত্যের মুক্ত তথ্যকোষ","জ্ঞান, ইতিহাস বারো সাহিত্যর মুক্ত তথ্যকোষ"
ট্যাগসমূহ,ট্যাগহানি
"ঠান্ডা কাগজ, ইন্ডিগো আর সোনালি","ঠান্ডা কাগজ, ইন্ডিগো বারো সোনালি"
ঠার,ঠার
ঠিকানা,ঠিকানা
ঠিকানা দিন।,ঠিকানা দে।
"ঠিকানা: তিলকপুর, কমলগঞ্জ, মৌলভীবাজার, সিলেট","ঠিকানা: তিলকপুর, কমলগঞ্জ, মৌলভীবাজার, সিলেট"
ডাউনলোড,ডাউনলোড
ডাউনলোড ফোল্ডারে সংরক্ষিত হয়েছে: {1},ডাউনলোড ফোল্ডারত ইতু অইল: {1}
ডাউনলোড ব্যর্থ হয়েছে: {1},ডাউনলোডত লালুইসে: {1}
ডাউনলোড হচ্ছে...,ডাউনলোড অর...
ডাউনলোড হয়নি,ডাউনলোড অইনি
ডাউনলোড হয়নি।,ডাউনলোড অইনি।
ডাকনাম,ডাকনাম
ডার্ক,ডার্ক
ডার্ক থিম,ডার্ক থিম
ডিজিটাল গ্রন্থাগার,ডিজিটাল গ্রন্থাগার
ডিজিটাল বই ও পত্রিকা প্রকাশিত হলে,ডিজিটাল বই বারো পত্রিকা দেহানি অইলে
ডিভাইসে সফলভাবে ডাউনলোড হয়েছে: {1},ডিভাইসত ডাউনলোড অইল: {1}
ডিসে,ডিসে
ডিসেম্বর,ডিসেম্বর
ডেটাবেজ আপডেট প্রয়োজন।,ডেটাবেজ আপডেট দরকার।
ডেটাবেজ টেবিল পাওয়া যায়নি। অনুগ্রহ করে সার্ভার কনফিগারেশন যাচাই করুন।,ডেটাবেজ টেবিল পানা নার অইল। কৃপা করিয়া সার্ভার কনফিগারেশন যাচাই কর।
ড্যাশবোর্ড,ড্যাশবোর্ড
ড্যাশবোর্ড ও নতুন প্রবন্ধ ব্যবহার করতে প্রোফাইলের সব আবশ্যক ঘর পূরণ করুন।,ড্যাশবোর্ড বারো নুৱা প্রবন্ধ ব্যবহার করানিরকা প্রোফাইলর হাবি দরকারি ঘর পুরণ কর।
তথ্য লোড করতে সমস্যা হয়েছে।,তথ্য লোড করানিত সমস্যা অইল।
তথ্য লোড করতে সমস্যা হয়েছে। অনুগ্রহ করে আবার চেষ্টা করুন।,তথ্য লোড করানিত সমস্যা অইল। কৃপা করিয়া আরাকবার চেষ্টা কর।
তথ্যসূত্র ও গবেষণা প্রবন্ধ:,তথ্যসূত্র বারো গবেষণা প্রবন্ধ:
তাক {1},তাক {1}
তামকরিক,তামকরিক
তালিকা,তালিকা
তালিকা আনা যায়নি।,তালিকা আনানি নার অইল।
তালিকা পড়তে ডেটাবেস আপডেট দরকার — 033_profile_paging.sql চালান।,তালিকা পড়ানিরকা ডেটাবেজ আপডেট দরকার — 033_profile_paging.sql চালাউক।
তালিকাটি লোড হয়নি।,তালিকাহান লোড অইনি।
"তিলকপুর, কমলগঞ্জ, মৌলভীবাজার, সিলেট","তিলকপুর, কমলগঞ্জ, মৌলভীবাজার, সিলেট"
তৈরি,হঙকর
তৈরি করুন,হঙকর
থামান,থামাউক
থিম: ডার্ক,থিম: ডার্ক
থিম: লাইট,থিম: লাইট
থিম: সিস্টেম (স্বয়ংক্রিয়),থিম: সিস্টেম (স্বয়ংক্রিয়)
"দুঃখিত, উত্তর তৈরি করতে সমস্যা হয়েছে। অনুগ্রহ করে পুনরায় চেষ্টা করুন।","দুঃখিত, উত্তর হঙকরানিত সমস্যা অইল। কৃপা করিয়া আরাকবার চেষ্টা কর।"
"দুঃখিত, তথ্য সংগ্রহে একটি ত্রুটি দেখা দিয়েছে। অনুগ্রহ করে পুনরায় চেষ্টা করুন।","দুঃখিত, তথ্য সংগ্রহ করানিত আকটা ত্রুটি অইল। কৃপা করিয়া আরাকবার চেষ্টা কর।"
দুবার ট্যাপে জুম,দুইবার ট্যাপ করিলে জুম
দৃশ্য,দৃশ্য
দেখা হয়েছে,চানা অইল
দেশাত্মবোধক,দেশাত্মবোধক
দ্রুত লিংকসমূহ,দ্রুত মিলাপহানি
ধরন,ধরন
ধরন / ক্যাটাগরি,ধরন / ক্যাটাগরি
ধর্ম,ধর্ম
ধ্রুমেল,ধ্রুমেল
ন,ন
নতুন PDF বই,নুৱা PDF বই
নতুন PDF বই প্রকাশিত হলে,নুৱা PDF বই দেহানি অইলে
নতুন আলোচনা,নুৱা য়্যারী
নতুন উত্তর,নুৱা উত্তর
নতুন ও নির্বাচিত প্রবন্ধ প্রকাশিত হলে,নুৱা বারো নির্বাচিত প্রবন্ধ দেহানি অইলে
নতুন কিছু প্রকাশিত হলে অ্যান্ড্রয়েড নোটিফিকেশনে জানানো হবে।,নুৱা কিছু দেহানি অইলে অ্যান্ড্রয়েড নোটিফিকেশনত জানানি অইব।
নতুন গান,নুৱা গান
নতুন গান জমা দিতে আগে প্রোফাইল সম্পূর্ণ করুন।,নুৱা গান জমা দেনিরকা আগে প্রোফাইল সম্পূর্ণ কর।
নতুন ছবি,নুৱা ছবিহানি
নতুন প্রকাশিত প্রবন্ধ এলে জানান,নুৱা প্রবন্ধ দেহানি অইলে জানাউক
নতুন প্রবন্ধ,নুৱা প্রবন্ধ
নতুন প্রবন্ধ জমা দিতে আগে প্রোফাইল সম্পূর্ণ করুন।,নুৱা প্রবন্ধ জমা দেনিরকা আগে প্রোফাইল সম্পূর্ণ কর।
নতুন প্রবন্ধসমূহ পুনরায় সিঙ্ক করবে,নুৱা প্রবন্ধহানি আরাকবার সিঙ্ক অইব
নতুন প্লেলিস্ট,নুৱা প্লেলিস্ট
নতুন ভিডিও,নুৱা ভিডিও
নতুন ভিডিও যোগ হলে,নুৱা ভিডিও যোগ অইলে
নভে,নভে
নভেম্বর,নভেম্বর
"নমস্কার! আমি এই নিবন্ধের এআই সহায়িকা।  📌 **""{1}""** নিবন্ধটির যেকোনো তথ্য, বিশ্লেষণ বা মূল ভাব সম্পর্কে জানতে নিচের দ্রুত প্রশ্ন বেছে নিন অথবা নিচে আপনার প্রশ্ন লিখুন।","নমস্কার! মি এরে নিবন্ধর এআই সহায়িকা।  📌 **""{1}""** নিবন্ধ এহানর যেকোনো তথ্য, বিশ্লেষণ বা মূল ভাব বারে জানানিরকা তলে দ্রুত প্রশ্ন বাছ নাইলে তলে তর প্রশ্ন ইকর।"
"নমস্কার! আমি নিংশিং চে AI সহকারী। বিষ্ণুপ্রিয়া মণিপুরি ভাষা, সাহিত্য, ঐতিহ্য ও সাধারণ জ্ঞানের প্রবন্ধ বিশ্লেষণ করে আমি সঠিক তথ্য প্রদান করি। ইঞ্চৌঘর, মিংকৌ, ভাষা আন্দোলন বা যেকোনো বিষয়ে প্রশ্ন করতে পারেন।","নমস্কার! মি নিংশিং চে AI সহকারী। বিষ্ণুপ্রিয়া মণিপুরি ঠার, সাহিত্য, ঐতিহ্য বারো সাধারণ জ্ঞানর প্রবন্ধ বিশ্লেষণ করিয়া মি সঠিক তথ্য দেই। ইঞ্চৌঘর, মিংকৌ, ঠার আন্দোলন বা যেকোনো বিষয়ে প্রশ্ন করানি পারর।"
না,না
নাটক,নাটক
নাম,নাঙ
নাম ও মন্তব্য আবশ্যক।,নাঙ বারো মন্তব্য দরকার।
নাম লিখুন,নাঙ ইকর
নামের প্রথম অংশ,নাঙর পয়লাকার অংশ
নামের প্রথম ও শেষ অংশ পূরণ করুন।,নাঙর পয়লাকার বারো লাতঙ অংশ পুরণ কর।
নামের শেষ অংশ,নাঙর লাতঙ অংশ
নিংশিং চে,নিংশিং চে
নিংশিং চে AI সহকারী,নিংশিং চে AI সহকারী
নিংশিং চে APK ডাউনলোড (সরাসরি লোকাল প্যাকেজ),নিংশিং চে APK ডাউনলোড (সরাসরি লোকাল প্যাকেজ)
নিংশিং চে APK ফাইল পাঠান / শেয়ার করুন,নিংশিং চে APK ফাইল দিয়াপেঠা / শেয়ার কর
নিংশিং চে PDF {1},নিংশিং চে PDF {1}
নিংশিং চে {1},নিংশিং চে {1}
নিংশিং চে অ্যাপ শেয়ার করুন,নিংশিং চে অ্যাপ শেয়ার কর
নিংশিং চে ডিজিটাল আর্কাইভে এ বিষয়ে আর কী কী তথ্য আছে?,নিংশিং চে ডিজিটাল আর্কাইভত এরে বিষয়ে আর কী কী তথ্য আসে?
"নিংশিং চে তথ্যকোষে প্রকাশিত লেখক। {1} এর রচনাসমূহ ইতিহাস, সাহিত্য ও সংস্কৃতি বিষয়ে পাওয়া যায়।","নিংশিং চে তথ্যকোষত প্রকাশিত লেখক। {1} র রচনাহানি ইতিহাস, সাহিত্য বারো সংস্কৃতি বিষয়ে পানা য়্যাকরের।"
নিংশিং চে তথ্যকোষের লেখক ও গবেষকবৃন্দ,নিংশিং চে তথ্যকোষর লেখক বারো গবেষকহানি
নিংশিং চে পাঠক,নিংশিং চে পাঠক
নিংশিং চে পাঠকদের আলোচনা,নিংশিং চে পাঠকহানির য়্যারিহানি
নিংশিং চে প্রকাশনা পর্ষদ,নিংশিং চে প্রকাশনা পর্ষদ
"নিংশিং চে বিষ্ণুপ্রিয়া মণিপুরি ভাষা, সাহিত্য, ইতিহাস ও সংস্কৃতির ডিজিটাল তথ্যকোষ। পোর্টালটি তিলকপুর, কমলগঞ্জ, মৌলভীবাজার, সিলেট থেকে পরিচালিত।","নিংশিং চে বিষ্ণুপ্রিয়া মণিপুরি ঠার, সাহিত্য, ইতিহাস বারো সংস্কৃতির ডিজিটাল তথ্যকোষ। পোর্টাল এহান তিলকপুর, কমলগঞ্জ, মৌলভীবাজার, সিলেটত্ত চালানি অর।"
নিংশিং চে মুদ্রিত সংখ্যা ও স্মারকপত্র,নিংশিং চে মুদ্রিত সংখ্যা বারো স্মারকপত্র
নিংশিং চে লেখক,নিংশিং চে লেখক
নিংশিং চে — {1},নিংশিং চে — {1}
নিংশিং চে — বিষ্ণুপ্রিয়া মণিপুরি ডিজিটাল তথ্যকোষ ও আর্কাইভ অ্যান্ড্রয়েড অ্যাপ (সংস্করণ {1})। ইনস্টল করতে সরাসরি এই APK ফাইলটি ব্যবহার করুন।,নিংশিং চে — বিষ্ণুপ্রিয়া মণিপুরি ডিজিটাল তথ্যকোষ বারো আর্কাইভ অ্যান্ড্রয়েড অ্যাপ (সংস্করণ {1})। ইনস্টল করানিরকা সরাসরি এরে APK ফাইল এহান ব্যবহার কর।
নিংশিং চে — বিষ্ণুপ্রিয়া মণিপুরি তথ্যকোষ,নিংশিং চে — বিষ্ণুপ্রিয়া মণিপুরি তথ্যকোষ
নিংশিং চে — বিষ্ণুপ্রিয়া মণিপুরি সাহিত্য ও সংস্কৃতি পোর্টাল https://ningshingche.com,নিংশিং চে — বিষ্ণুপ্রিয়া মণিপুরি সাহিত্য বারো সংস্কৃতি পোর্টাল https://ningshingche.com
নিংশিং চে-তে {1} সালে প্রকাশিত প্রবন্ধ ও সংখ্যা।,নিংশিং চে-ত {1} মারিত প্রকাশিত প্রবন্ধ বারো সংখ্যা।
নিংশিং চে-র নতুন সংস্করণ ইনস্টল আছে।,নিংশিং চে-র নুৱা সংস্করণ ইনস্টল আসে।
নিংশিং চে-র সকল ডিজিটাল প্রকাশনা।,নিংশিং চে-র হাবি ডিজিটাল প্রকাশনা।
নিংশিং_চে_-_{1},নিংশিং_চে_-_{1}
নিংশিংচে {1},নিংশিংচে {1}
নিংশিংচে-,নিংশিংচে-
নিংশিংচে-{1},নিংশিংচে-{1}
নিংশিংচে.কম থেকে {1}টি প্রবন্ধ হালনাগাদ হয়েছে,নিংশিংচে.কমত্ত {1}গ প্রবন্ধ হালনাগাদ অইল
নিংশিংচে.কম থেকে সংগৃহীত মূল ডিজিটাল সংস্করণ।,নিংশিংচে.কমত্ত সংগৃহীত মূল ডিজিটাল সংস্করণ।
নিচে দাগ,তলে দাগ
নিচে যান,তলে যা
নিজস্ব প্রবন্ধ রচনা ও খসড়া সংরক্ষণ,নিজর প্রবন্ধ ইকরানি বারো খসড়া ইতু করানি
নিজের রঙ,নিজর রঙ
নিজের সম্পর্কে,নিজর বারে
নিজের সম্পর্কে সংক্ষিপ্ত পরিচিতি লিখুন।,নিজর বারে হুরু-মুরু পরিচিতি ইকর।
নিবন্ধ এআই সহায়িকা,নিবন্ধ এআই সহায়িকা
নিবন্ধ থেকে উত্তর তৈরি করা হচ্ছে...,নিবন্ধত্ত উত্তর হঙকরানি অর...
নিবন্ধটিতে উল্লেখিত গুরুত্বপূর্ণ বিষয়গুলো সংক্ষেপে লিখুন,নিবন্ধ এহাত উল্লেখ অসে গুরুত্বপূর্ণ বিষয়হানি হুরু-মুরু করিয়া ইকর
নিবন্ধটির সবচেয়ে গুরুত্বপূর্ণ ৩টি প্রশ্নোত্তর তৈরি করে দিন।,নিবন্ধ এহানর হাবিত্ত গুরুত্বপূর্ণ ৩গ প্রশ্ন-উত্তর হঙকরিয়া দে।
নিবন্ধিত পাঠক,নিবন্ধিত পাঠক
নিবন্ধিত ভিউ,নিবন্ধিত ভিউ
নিবন্ধের প্রথম অংশ থেকে প্রাপ্ত সারসংক্ষেপ:,নিবন্ধর পয়লাকার অংশত্ত পানা সারসংক্ষেপ:
নির্বাচিত প্রবন্ধ,নির্বাচিত প্রবন্ধ
নির্বাচিত ফাইলটি কোনো বৈধ ছবি নয় (Not an image). Type: {1},বাছানির ফাইল এহান কোনো বৈধ ছবি নাই (Not an image). Type: {1}
নির্বাচিত লেখা,নির্বাচিত লেখা
নিশীথ,নিশীথ
নীলা-কালি,নীলা-কালি
নুয়া লেখা,নুৱা লেখা
নৃত্য,নৃত্য
প,প
পছন্দ,পছন
পছন্দের গান,পছনর গান
পঠন ইতিহাস মুছে ফেলা হয়েছে,পড়ানির ইতিহাস পুসানি অইল
পঠন ইতিহাস রিসেট করুন,পড়ানির ইতিহাস রিসেট কর
পঠন সেটিংস (Font & Spacing),পাঠ করানির সেটিংস (Font & Spacing)
পড়া যায় সবার — লেখা যায় নিজের নামে।,হাবি মানুয়ে চানি পারর — নিজর নাঙে ইকরানি অর।
পড়ার মতো কোনো লেখা পাওয়া যায়নি।,পড়ানিরকা কোনো লেখা পানা নার অইল।
পড়ে শোনানোর সময় ত্রুটি হয়েছে।,পড়িয়া হুনানির সময়ত ত্রুটি অইল।
পদবি / পরিচয় (ঐচ্ছিক),পদবি / পরিচয় (ঐচ্ছিক)
পয়েন্ট,পয়েন্ট
পয়েন্টের হিসাব এখনো পাওয়া যায়নি।,পয়েন্টর হিসাব এপাগাও পানা নার অইল।
পরবর্তী,থাংনাত
পরে সেটিংস থেকে ভাষা বদলাতে পারবেন।,পিছেদে সেটিংসত্ত ঠার বদলানি পারর।
পরের গান,থাংনাত গান
পরের ছবি,থাংনাত ছবি
পরের পৃষ্ঠা,থাংনাত পাতা
পর্যালোচনা,পর্যালোচনা
পর্যালোচনায়,পর্যালোচনাত
পর্যালোচিত,পর্যালোচিত
পল্লী,পল্লী
পাকরিক,পাকরিক
পাঠক,পাঠক
পাঠক {1},পাঠক {1}
পাঠকের সেটিংস,পাঠকর সেটিংস
পাঠান,দিয়াপেঠাউক
পাঠানো হয়েছে,দিয়াপেঠানি অইল
পাঠ্য লেখা,পড়ানির লেখা
পাতা স্ন্যাপ,পাতা স্ন্যাপ
পাতার ফাঁক  ·  {1} dp,পাতার ফাঁক  ·  {1} dp
পালা-কীর্তন,পালা-কীর্তন
পিডিএফ খালি এসেছে।,পিডিএফ খালি আইল।
পিডিএফ খুলুন,পিডিএফ খুল
পিডিএফ খোলা যায়নি।,পিডিএফ খুলানি নার অইল।
পিডিএফ খোলা হচ্ছে…,পিডিএফ খুলানি অর…
পিডিএফ ডকুমেন্ট,পিডিএফ ডকুমেন্ট
পিডিএফ ডাউনলোড হয়নি ({1}),পিডিএফ ডাউনলোড অইনি ({1})
পিডিএফ পড়া যায়নি।,পিডিএফ পড়ানি নার অইল।
পিডিএফ পাঠক,পিডিএফ পাঠক
পিডিএফ বই,পিডিএফ বই
পিডিএফ লিংক পাওয়া যায়নি।,পিডিএফ মিলাপ পানা নার অইল।
পিডিএফ ২০০ এমবি-র বেশি হতে পারে না।,পিডিএফ ২০০ এমবিত্ত বেশি অইতে পারব না।
পিডিএফটি খোলা যায়নি।,পিডিএফ এহান খুলানি নার অইল।
পূর্ণ আকারের ছবি,পুরা আকারর ছবি
পৃষ্ঠা {1} / {2},পাতা {1} / {2}
পৃষ্ঠা খোলা যায়নি,পাতা খুলানি নার অইল
পৃষ্ঠায় যান,পাতাত যা
পেছনে,ফির
পেস্ট,পেস্ট
পৌ,পৌ
পৌরাণিক,পৌরাণিক
পৌরাণিক কাহিনী,পৌরাণিক কাহিনী
পৌরাণিক-কাহিনী,পৌরাণিক-কাহিনী
প্রকাশিত,প্রকাশিত
প্রকাশিত হলে লিংকটি কাজ করবে।,দেহানি অইলে মিলাপ এহান কাম করব।
প্রতিক্রিয়া,প্রতিক্রিয়া
প্রত্যাখ্যাত,প্রত্যাখ্যাত
প্রথম মন্তব্যটি আপনিই লিখুন।,পয়লাকার মন্তব্য তিয়েই ইকর।
প্রথমবার খুললে সাইন-ইন প্রয়োজন। তারপর বিজ্ঞপ্তি চালু করতে পারবেন।,পয়লাকারবার খুলিলে সাইন-ইন দরকার। তার পিছে বিজ্ঞপ্তি চালু করানি পারর।
প্রধান প্রশাসক,প্রধান প্রশাসক
প্রবন্ধ,প্রবন্ধ
প্রবন্ধ {1},প্রবন্ধ {1}
প্রবন্ধ {1} ·,প্রবন্ধ {1} ·
প্রবন্ধ ও গান খুঁজুন...,প্রবন্ধ বারো গান বিসারা...
প্রবন্ধ তালিকা লোড হয়নি ({1}),প্রবন্ধর তালিকা লোড অইনি ({1})
প্রবন্ধ প্রকাশিত হয়েছে,প্রবন্ধ দেহানি অইল
প্রবন্ধ বিশ্লেষণ,প্রবন্ধ বিশ্লেষণ
প্রবন্ধ ভিউ,প্রবন্ধ ভিউ
প্রবন্ধ যোগ,প্রবন্ধ যোগ
প্রবন্ধ সংরক্ষণ হয়েছে,প্রবন্ধ ইতু করানি অইল
প্রবন্ধটি পাওয়া যায়নি।,প্রবন্ধ এহান পানা নার অইল।
প্রবন্ধের অবস্থা,প্রবন্ধর অবস্থা
প্রবন্ধের ছবি,প্রবন্ধর ছবি
প্রবন্ধের শিরোনাম,প্রবন্ধর শিরোনাম
প্রবেশ করা হচ্ছে...,হমানি অর...
প্রস্তাবিত জিজ্ঞাসা:,প্রস্তাবিত প্রশ্নহানি:
প্রস্থ,প্রস্থ
প্রস্থ ও উচ্চতা দুটোই,প্রস্থ বারো উচ্চতা দুইউ
প্রাচীনকালের কিছু জনপ্রিয় ঐতিহাসিক মিংকৌ নাম কী কী?,প্রাচীন কালর কিছু জনপ্রিয় ঐতিহাসিক মিংকৌ নাঙ কী কী?
প্রিভিউ,আগচা
প্রেম,প্রেম
প্রোফাইল,প্রোফাইল
প্রোফাইল অসম্পূর্ণ। নতুন প্রবন্ধ বা গান জমা দিতে আগে প্রোফাইল পূরণ করুন।,প্রোফাইল অসম্পূর্ণ। নুৱা প্রবন্ধ বা গান জমা দেনিরকা আগে প্রোফাইল পুরণ কর।
প্রোফাইল ছবি,প্রোফাইল ছবি
প্রোফাইল ছবি (ImgBB),প্রোফাইল ছবি (ImgBB)
প্রোফাইল ছবি আপডেট হয়েছে।,প্রোফাইল ছবি আপডেট অইল।
প্রোফাইল ছবি আপলোড করুন।,প্রোফাইল ছবি আপলোড কর।
প্রোফাইল লোড হয়নি।,প্রোফাইল লোড অইনি।
প্রোফাইল সংরক্ষণ করুন,প্রোফাইল ইতু কর
প্রোফাইল সংরক্ষণ যায়নি ({1})। SQL মাইগ্রেশন 006 চালানো হয়েছে কি?,প্রোফাইল ইতু করানি নার অইল ({1})। SQL মাইগ্রেশন 006 চালানি অইল কি?
প্রোফাইল সংরক্ষণ যায়নি।,প্রোফাইল ইতু করানি নার অইল।
প্রোফাইল সংরক্ষিত হয়েছে।,প্রোফাইল ইতু করানি অইল।
প্রোফাইল সম্পাদনা,প্রোফাইল পতানি
প্রোফাইলে যান,প্রোফাইলত যা
প্লেয়ার চালু হয়নি। আবার চেষ্টা করুন।,প্লেয়ার চালু অইনি। আরাকবার চেষ্টা কর।
প্লেলিস্ট,প্লেলিস্ট
প্লেলিস্ট তৈরি করতে উপরের + চাপুন।,প্লেলিস্ট হঙকরানিরকা উপরে + চাপ।
প্লেলিস্টে যোগ করুন,প্লেলিস্টত যোগ কর
প্লেলিস্টের নাম,প্লেলিস্টর নাঙ
ফর্ম টোকেন পাওয়া যায়নি,ফর্ম টোকেন পানা নার অইল
ফলাফল,ফলাফল
ফাইল খালি এসেছে।,ফাইল খালি আইল।
ফাইল খালি।,ফাইল খালি।
ফাইল খোলা যায়নি।,ফাইল খুলানি নার অইল।
ফাইল ডাউনলোড হয়নি ({1}),ফাইল ডাউনলোড অইনি ({1})
ফাইল যুক্ত করা যায়নি।,ফাইল যোগ করানি নার অইল।
ফাইল সংযুক্ত করুন,ফাইল যোগ কর
ফাইল ২০০ এমবি-র বেশি হতে পারে না।,ফাইল ২০০ এমবিত্ত বেশি অইতে পারব না।
ফাইল ৩২ এমবি-র বেশি হতে পারবে না।,ফাইল ৩২ এমবিত্ত বেশি অইতে পারব না।
ফাইলটি একটি বৈধ পিডিএফ নয়।,ফাইল এহান কোনো বৈধ পিডিএফ নাই।
ফাইলের ঠিকানা নেই।,ফাইলর ঠিকানা নেই।
ফিচা / ড,ফিচা / ড
ফিচারড,ফিচারড
ফিচার্ড,ফিচার্ড
ফিচার্ড ও সম্পাদকীয় পছন্দ,ফিচার্ড বারো সম্পাদকীয় পছন
ফিচার্ড প্রবন্ধসমূহ,ফিচার্ড প্রবন্ধহানি
ফিরুন,ফির
ফেব,ফেব
ফেব্রুয়ারি,ফেব্রুয়ারি
ফোক-ফিউশন,ফোক-ফিউশন
ফোন (ঐচ্ছিক),ফোন (ঐচ্ছিক)
ফোন নম্বর,ফোন নম্বর
ফোন নম্বর দিন।,ফোন নম্বর দে।
ফোন: +880 9638-781890,ফোন: +880 9638-781890
ফোরাম,ফোরাম
ফোরাম · আলোচনা,ফোরাম · য়্যারিহানি
ফোরাম · উত্তর,ফোরাম · উত্তরহানি
ফোরাম লোড হয়নি।,ফোরাম লোড অইনি।
ফোরামে আপনার কাজ,ফোরামত তর কাম
ফোরামে এখনো কোনো আলোচনা নেই।,ফোরামত এপাগাও কোনো য়্যারী নেই।
ফোরামে যান,ফোরামত যা
ফোরামের হিসাব লোড হচ্ছে…,ফোরামর হিসাব লোড অর…
ফ্রেমে মিল,ফ্রেমত মিল
বই,বই
বই ও সাময়িকী,বই বারো সাময়িকী
বই দৃশ্য  ·  সোয়াইপ করে পাতা উল্টান,বই দৃশ্য  ·  সোয়াইপ করিয়া পাতা উলটা
বইটি খোলা যায়নি,বই এহান খুলানি নার অইল
বইটি খোলা যায়নি।,বই এহান খুলানি নার অইল।
বড় করুন,ডাঙর কর
বড় করে দেখুন,ডাঙর করিয়া চা
বন,বন
বন্ধ,বন্ধ
বন্ধ করুন,বন্ধ কর
বন্ধ বিভাগ,বন্ধ বিভাগ
বাঁকা,বাঁকা
বাংলা,বাংলা
বাংলাদেশ,বাংলাদেশ
বাংলাদেশ / ভারত,বাংলাদেশ / ভারত
বাড়ি,ঘর
বাতিল,বাতিল করেদে
বাদ্যযন্ত্র,বাদ্যযন্ত্র
বার পঠিত,চানা অইলর সংখ্যা
বার শোনা,হুনানি অইলর সংখ্যা
বার্তা,বার্তা
বার্তা পাঠানো যায়নি ({1})। SQL মাইগ্রেশন 007 চালান।,বার্তা দিয়াপেঠানি নার অইল ({1})। SQL মাইগ্রেশন 007 চালাউক।
বার্তা পাঠানো যায়নি।,বার্তা দিয়াপেঠানি নার অইল।
বার্তা লিখুন।,বার্তা ইকর।
বার্ষিক ও উৎসব সংখ্যা,বার্ষিক বারো উৎসব সংখ্যা
বার্ষিক সংখ্যা,বার্ষিক সংখ্যা
