key,value
"নমস্কার! আমি এই নিবন্ধের এআই সহায়িকা।  📌 **""{1}""** নিবন্ধটির যেকোনো তথ্য, বিশ্লেষণ বা মূল ভাব সম্পর্কে জানতে নিচের দ্রুত প্রশ্ন বেছে নিন অথবা নিচে আপনার প্রশ্ন লিখুন।","Hello! I am this article's AI assistant.  📌 To know anything about the article **""{1}""** — its information, analysis or main idea — pick a quick question below, or write your own question here."
"নমস্কার! আমি নিংশিং চে AI সহকারী। বিষ্ণুপ্রিয়া মণিপুরি ভাষা, সাহিত্য, ঐতিহ্য ও সাধারণ জ্ঞানের প্রবন্ধ বিশ্লেষণ করে আমি সঠিক তথ্য প্রদান করি। ইঞ্চৌঘর, মিংকৌ, ভাষা আন্দোলন বা যেকোনো বিষয়ে প্রশ্ন করতে পারেন।","Hello! I am the Ningshing Che AI assistant. I analyse articles on Bishnupriya Manipuri language, literature, tradition and general knowledge, and give you accurate information. Ask me anything about the ইঞ্চৌঘর, মিংকৌ, the language movement or any other subject."
না,No
নাটক,Drama
নাম,Name
নাম ও মন্তব্য আবশ্যক।,Name and comment are required.
নাম লিখুন,Write your name
নামের প্রথম অংশ,First part of the name
নামের প্রথম ও শেষ অংশ পূরণ করুন।,Fill in the first and last part of the name.
নামের শেষ অংশ,Last part of the name
নিংশিং চে,Ningshing Che
নিংশিং চে AI সহকারী,Ningshing Che AI assistant
নিংশিং চে APK ডাউনলোড (সরাসরি লোকাল প্যাকেজ),Ningshing Che APK download (direct local package)
নিংশিং চে APK ফাইল পাঠান / শেয়ার করুন,Send / share the Ningshing Che APK file
নিংশিং চে PDF {1},Ningshing Che PDF {1}
নিংশিং চে {1},Ningshing Che {1}
নিংশিং চে অ্যাপ শেয়ার করুন,Share the Ningshing Che app
নিংশিং চে ডিজিটাল আর্কাইভে এ বিষয়ে আর কী কী তথ্য আছে?,What else does the Ningshing Che digital archive have on this subject?
"নিংশিং চে তথ্যকোষে প্রকাশিত লেখক। {1} এর রচনাসমূহ ইতিহাস, সাহিত্য ও সংস্কৃতি বিষয়ে পাওয়া যায়।","An author published in the Ningshing Che encyclopedia. {1}'s works are on history, literature and culture."
নিংশিং চে তথ্যকোষের লেখক ও গবেষকবৃন্দ,Writers and researchers of the Ningshing Che encyclopedia
নিংশিং চে পাঠক,Ningshing Che reader
নিংশিং চে পাঠকদের আলোচনা,Ningshing Che readers' discussions
নিংশিং চে প্রকাশনা পর্ষদ,Ningshing Che publication board
"নিংশিং চে বিষ্ণুপ্রিয়া মণিপুরি ভাষা, সাহিত্য, ইতিহাস ও সংস্কৃতির ডিজিটাল তথ্যকোষ। পোর্টালটি তিলকপুর, কমলগঞ্জ, মৌলভীবাজার, সিলেট থেকে পরিচালিত।","Ningshing Che is a digital encyclopedia of Bishnupriya Manipuri language, literature, history and culture. The portal is run from Tilakpur, Kamalganj, Moulvibazar, Sylhet."
নিংশিং চে মুদ্রিত সংখ্যা ও স্মারকপত্র,Ningshing Che print issues and memorial volumes
নিংশিং চে লেখক,Ningshing Che writer
নিংশিং চে — {1},Ningshing Che — {1}
নিংশিং চে — বিষ্ণুপ্রিয়া মণিপুরি ডিজিটাল তথ্যকোষ ও আর্কাইভ অ্যান্ড্রয়েড অ্যাপ (সংস্করণ {1})। ইনস্টল করতে সরাসরি এই APK ফাইলটি ব্যবহার করুন।,Ningshing Che — the Bishnupriya Manipuri digital encyclopedia and archive Android app (version {1}). Use this APK file directly to install it.
নিংশিং চে — বিষ্ণুপ্রিয়া মণিপুরি তথ্যকোষ,Ningshing Che — Bishnupriya Manipuri encyclopedia
নিংশিং চে — বিষ্ণুপ্রিয়া মণিপুরি সাহিত্য ও সংস্কৃতি পোর্টাল https://ningshingche.com,Ningshing Che — Bishnupriya Manipuri literature and culture portal https://ningshingche.com
নিংশিং চে-তে {1} সালে প্রকাশিত প্রবন্ধ ও সংখ্যা।,Articles and issues published in Ningshing Che in {1}.
নিংশিং চে-র নতুন সংস্করণ ইনস্টল আছে।,A new version of Ningshing Che is installed.
নিংশিং চে-র সকল ডিজিটাল প্রকাশনা।,All the digital publications of Ningshing Che.
নিংশিং_চে_-_{1},নিংশিং_চে_-_{1}
নিংশিংচে {1},Ningshingche {1}
নিংশিংচে-,Ningshingche-
নিংশিংচে-{1},Ningshingche-{1}
নিংশিংচে.কম থেকে {1}টি প্রবন্ধ হালনাগাদ হয়েছে,{1} articles were updated from ningshingche.com
নিংশিংচে.কম থেকে সংগৃহীত মূল ডিজিটাল সংস্করণ।,"The original digital edition, taken from ningshingche.com."
নিচে দাগ,Underline
নিচে যান,Go down
নিজস্ব প্রবন্ধ রচনা ও খসড়া সংরক্ষণ,Write your own articles and keep drafts
নিজের রঙ,Your own colour
নিজের সম্পর্কে,About yourself
নিজের সম্পর্কে সংক্ষিপ্ত পরিচিতি লিখুন।,Write a short introduction about yourself.
নিবন্ধ এআই সহায়িকা,Article AI assistant
নিবন্ধ থেকে উত্তর তৈরি করা হচ্ছে...,Preparing an answer from the article...
নিবন্ধটিতে উল্লেখিত গুরুত্বপূর্ণ বিষয়গুলো সংক্ষেপে লিখুন,Write briefly the important points mentioned in the article
নিবন্ধটির সবচেয়ে গুরুত্বপূর্ণ ৩টি প্রশ্নোত্তর তৈরি করে দিন।,Make the three most important question-answers from the article.
নিবন্ধিত পাঠক,Registered readers
নিবন্ধিত ভিউ,Registered views
নিবন্ধের প্রথম অংশ থেকে প্রাপ্ত সারসংক্ষেপ:,Summary from the first part of the article:
নির্বাচিত প্রবন্ধ,Featured articles
নির্বাচিত ফাইলটি কোনো বৈধ ছবি নয় (Not an image). Type: {1},The chosen file is not a valid image (not an image). Type: {1}
নির্বাচিত লেখা,Featured writing
নিশীথ,Nishith
নীলা-কালি,Nila-kali
নুয়া লেখা,New writing
নৃত্য,Dance
প,P
পছন্দ,Like
পছন্দের গান,Favourite songs
পঠন ইতিহাস মুছে ফেলা হয়েছে,The reading history was cleared
পঠন ইতিহাস রিসেট করুন,Reset the reading history
পড়া যায় সবার — লেখা যায় নিজের নামে।,Everyone can read — you write in your own name.
পড়ার মতো কোনো লেখা পাওয়া যায়নি।,No writing worth reading was found.
পড়ে শোনানোর সময় ত্রুটি হয়েছে।,There was an error while reading it out.
পদবি / পরিচয় (ঐচ্ছিক),Title / identity (optional)
পয়েন্ট,Points
পয়েন্টের হিসাব এখনো পাওয়া যায়নি।,The points total could not be fetched yet.
পরবর্তী,Next
পরে সেটিংস থেকে ভাষা বদলাতে পারবেন।,You can change the language later in the settings.
পরের গান,Next song
পরের ছবি,Next photo
পরের পৃষ্ঠা,Next page
পর্যালোচনা,Review
পর্যালোচনায়,Under review
পর্যালোচিত,Reviewed
পল্লী,Palli
পাকরিক,Pakrik
পাঠক,Reader
পাঠক {1},Reader {1}
পাঠকের সেটিংস,Reader settings
পাঠান,Send
পাঠানো হয়েছে,Sent
পাঠ্য লেখা,Body text
পাতা স্ন্যাপ,Page snap
পাতার ফাঁক  ·  {1} dp,Page gap  ·  {1} dp
পালা-কীর্তন,Pala-kirtan
পিডিএফ খালি এসেছে।,The PDF came through empty.
পিডিএফ খুলুন,Open the PDF
পিডিএফ খোলা যায়নি।,The PDF could not be opened.
পিডিএফ খোলা হচ্ছে…,Opening the PDF…
পিডিএফ ডকুমেন্ট,PDF document
পিডিএফ ডাউনলোড হয়নি ({1}),The PDF was not downloaded ({1})
পিডিএফ পড়া যায়নি।,The PDF could not be read.
পিডিএফ পাঠক,PDF reader
পিডিএফ বই,PDF books
পিডিএফ লিংক পাওয়া যায়নি।,No PDF link was found.
পিডিএফ ২০০ এমবি-র বেশি হতে পারে না।,The PDF cannot be larger than 200 MB.
পিডিএফটি খোলা যায়নি।,This PDF could not be opened.
পূর্ণ আকারের ছবি,Full-size photo
পৃষ্ঠা {1} / {2},Page {1} / {2}
পৃষ্ঠা খোলা যায়নি,The page could not be opened
পৃষ্ঠায় যান,Go to the page
পেছনে,Back
পেস্ট,Paste
পৌ,পৌ
পৌরাণিক,Mythological
পৌরাণিক কাহিনী,Mythological tales
পৌরাণিক-কাহিনী,Mythological tales
প্রকাশিত,Published
প্রকাশিত হলে লিংকটি কাজ করবে।,The link works once it is published.
প্রতিক্রিয়া,Reaction
প্রত্যাখ্যাত,Rejected
প্রথম মন্তব্যটি আপনিই লিখুন।,Be the first to write a comment.
প্রথমবার খুললে সাইন-ইন প্রয়োজন। তারপর বিজ্ঞপ্তি চালু করতে পারবেন।,Signing in is needed the first time you open it. After that you can turn on notifications.
প্রধান প্রশাসক,Chief admin
প্রবন্ধ,Articles
প্রবন্ধ {1},Article {1}
প্রবন্ধ {1} ·,Article {1} ·
প্রবন্ধ ও গান খুঁজুন...,Search articles and songs...
প্রবন্ধ তালিকা লোড হয়নি ({1}),The article list did not load ({1})
প্রবন্ধ প্রকাশিত হয়েছে,The article is published
প্রবন্ধ বিশ্লেষণ,Article analysis
প্রবন্ধ ভিউ,Article views
প্রবন্ধ যোগ,Add an article
প্রবন্ধ সংরক্ষণ হয়েছে,The article was saved
প্রবন্ধটি পাওয়া যায়নি।,The article was not found.
প্রবন্ধের অবস্থা,Article status
প্রবন্ধের ছবি,Article photo
প্রবন্ধের শিরোনাম,Article title
প্রবেশ করা হচ্ছে...,Signing in...
প্রস্তাবিত জিজ্ঞাসা:,Suggested questions:
প্রস্থ,Width
প্রস্থ ও উচ্চতা দুটোই,Both width and height
প্রাচীনকালের কিছু জনপ্রিয় ঐতিহাসিক মিংকৌ নাম কী কী?,What are some popular historical Mingkau names from ancient times?
প্রিভিউ,Preview
প্রেম,Love
প্রোফাইল,Profile
প্রোফাইল অসম্পূর্ণ। নতুন প্রবন্ধ বা গান জমা দিতে আগে প্রোফাইল পূরণ করুন।,The profile is incomplete. Fill it in before submitting a new article or song.
প্রোফাইল ছবি,Profile photo
প্রোফাইল ছবি (ImgBB),Profile photo (ImgBB)
প্রোফাইল ছবি আপডেট হয়েছে।,The profile photo was updated.
প্রোফাইল ছবি আপলোড করুন।,Upload a profile photo.
প্রোফাইল লোড হয়নি।,The profile did not load.
প্রোফাইল সংরক্ষণ করুন,Save the profile
প্রোফাইল সংরক্ষণ যায়নি ({1})। SQL মাইগ্রেশন 006 চালানো হয়েছে কি?,The profile could not be saved ({1}). Has SQL migration 006 been run?
প্রোফাইল সংরক্ষণ যায়নি।,The profile could not be saved.
প্রোফাইল সংরক্ষিত হয়েছে।,The profile was saved.
প্রোফাইল সম্পাদনা,Edit the profile
প্রোফাইলে যান,Go to the profile
প্লেয়ার চালু হয়নি। আবার চেষ্টা করুন।,The player did not start. Try again.
প্লেলিস্ট,Playlist
প্লেলিস্ট তৈরি করতে উপরের + চাপুন।,Press the + above to create a playlist.
প্লেলিস্টে যোগ করুন,Add to the playlist
প্লেলিস্টের নাম,Playlist name
ফর্ম টোকেন পাওয়া যায়নি,The form token was not found
ফলাফল,Result
ফাইল খালি এসেছে।,The file came through empty.
ফাইল খালি।,The file is empty.
ফাইল খোলা যায়নি।,The file could not be opened.
ফাইল ডাউনলোড হয়নি ({1}),The file was not downloaded ({1})
ফাইল যুক্ত করা যায়নি।,The file could not be attached.
ফাইল সংযুক্ত করুন,Attach a file
ফাইল ২০০ এমবি-র বেশি হতে পারে না।,The file cannot be larger than 200 MB.
ফাইল ৩২ এমবি-র বেশি হতে পারবে না।,The file cannot be larger than 32 MB.
ফাইলটি একটি বৈধ পিডিএফ নয়।,The file is not a valid PDF.
ফাইলের ঠিকানা নেই।,The file has no address.
ফিচা / ড,ফিচা / ড
ফিচারড,Featured
ফিচার্ড,Featured
ফিচার্ড ও সম্পাদকীয় পছন্দ,Featured and editorial picks
ফিচার্ড প্রবন্ধসমূহ,Featured articles
ফিরুন,Back
ফেব,Feb
ফেব্রুয়ারি,February
ফোক-ফিউশন,Folk fusion
ফোন (ঐচ্ছিক),Phone (optional)
ফোন নম্বর,Phone number
ফোন নম্বর দিন।,Enter the phone number.
ফোন: +880 9638-781890,Phone: +880 9638-781890
ফোরাম,Forum
ফোরাম · আলোচনা,Forum · discussions
ফোরাম · উত্তর,Forum · answers
ফোরাম লোড হয়নি।,The forum did not load.
ফোরামে আপনার কাজ,Your work in the forum
ফোরামে এখনো কোনো আলোচনা নেই।,There is no discussion in the forum yet.
ফোরামে যান,Go to the forum
ফোরামের হিসাব লোড হচ্ছে…,Loading the forum totals…
ফ্রেমে মিল,Fit to frame
বই,Books
বই ও সাময়িকী,Books and periodicals
বই দৃশ্য  ·  সোয়াইপ করে পাতা উল্টান,Book view  ·  swipe to turn the page
বইটি খোলা যায়নি,The book could not be opened
বইটি খোলা যায়নি।,The book could not be opened.
বড় করুন,Bigger
বড় করে দেখুন,View it larger
বন,Forest
বন্ধ,Closed
বন্ধ করুন,Close
বন্ধ বিভাগ,Closed category
বাঁকা,Italic
বাংলা,Bengali
বাংলাদেশ,Bangladesh
বাংলাদেশ / ভারত,Bangladesh / India
বাড়ি,Home
বাতিল,Cancel
বাদ্যযন্ত্র,Instruments
বার পঠিত,Read count
বার শোনা,Play count
বার্তা,Message
বার্তা পাঠানো যায়নি ({1})। SQL মাইগ্রেশন 007 চালান।,The message could not be sent ({1}). Run SQL migration 007.
বার্তা পাঠানো যায়নি।,The message could not be sent.
বার্তা লিখুন।,Write a message.
বার্ষিক ও উৎসব সংখ্যা,Annual and festival issues
বার্ষিক সংখ্যা,Annual issue
বার্ষিক সংখ্যা • {1} সালে প্রকাশিত লেখাসমূহ,Annual issue • writing published in {1}
বার্ষিক সাহিত্য সংকলন,Annual literary collection
বিজ্ঞপ্তি,Notifications
বিজ্ঞপ্তি ({1}),Notifications ({1})
বিজ্ঞপ্তি ও আপডেট,Notifications and updates
বিজ্ঞপ্তি চালু করুন,Turn on notifications
বিজ্ঞান,Science
বিজ্ঞান ও প্রযুক্তি,Science and technology
বিজ্ঞান-ও-প্রযুক্তি,Science-and-technology
বিভাগ,Category
বিভাগ গুটিয়ে নিন,Collapse the category
বিভাগ দেখুন,See the category
বিভাগ বন্ধ,Category closed
বিভাগ বেছে নিন,Pick a category
বিভাগ লোড হয়নি।,The category did not load.
"বিভাগ, লেখক, বার্ষিক সংখ্যা ও নির্বাচিত লেখা","Categories, writers, annual issues and featured writing"
বিভাগসমূহ,Categories
বিভাগসমূহ ({1}),Categories ({1})
বিরতি,Break
বিরহ,Biraha
বিশু,Bishu
বিশু উৎসব কীভাবে পালিত হয়?,How is the Bishu festival celebrated?
বিশু উৎসবে ঐতিহ্যবাহী খাদ্যাভ্যাস ও পোশাক কেমন হয়?,What traditional food and dress are there at the Bishu festival?
বিশু উৎসবের উৎপত্তি ও পৌরাণিক তাৎপর্য কী?,What is the origin and mythological meaning of the Bishu festival?
বিশেষ নির্বাচন,Special selection
বিশ্লেষণ,Analysis
বিষয় ও বিভাগসমূহ,Subjects and categories
বিষু উৎসব,Bishu festival
বিষ্ণুপ্রিয়া মণিপুরি ঐতিহ্য ও বিশ্ব জ্ঞানকোষ,Bishnupriya Manipuri tradition and world encyclopedia
বিষ্ণুপ্রিয়া মণিপুরি ডিজিটাল সাংস্কৃতিক আর্কাইভ ও সাহিত্য পত্রিকা,Bishnupriya Manipuri digital cultural archive and literary magazine
বিষ্ণুপ্রিয়া মণিপুরি তথ্যকোষ,Bishnupriya Manipuri encyclopedia
বিষ্ণুপ্রিয়া মণিপুরি ভাষা আন্দোলনের ইতিহাস কী?,What is the history of the Bishnupriya Manipuri language movement?
বিষ্ণুপ্রিয়া মণিপুরি ভাষা ও সংস্কৃতির ডিজিটাল সংকলন — নিংশিং চে।,A digital collection of Bishnupriya Manipuri language and culture — Ningshing Che.
বিষ্ণুপ্রিয়া মণিপুরি ভাষা ও সাহিত্যের উৎপত্তি সম্পর্কে জানতে চাই,I want to know about the origin of the Bishnupriya Manipuri language and literature
"বিষ্ণুপ্রিয়া মণিপুরি ভাষা, সাহিত্য, ইতিহাস, সংস্কৃতি ও ঐতিহ্যের একমাত্র প্রামাণ্য ও মুক্ত ডিজিটাল তথ্যকোষ ও আর্কাইভ।","The only authoritative and open digital encyclopedia and archive of Bishnupriya Manipuri language, literature, history, culture and tradition."
"বিষ্ণুপ্রিয়া মণিপুরি ভাষা, সাহিত্য, সংস্কৃতি ও ইতিহাসের যে কোনো প্রশ্ন করুন","Ask any question about Bishnupriya Manipuri language, literature, culture and history"
বিষ্ণুপ্রিয়া মণিপুরি ভাষার সাংবিধানিক স্বীকৃতির ইতিহাস কী?,What is the history of constitutional recognition for the Bishnupriya Manipuri language?
বিষ্ণুপ্রিয়া মণিপুরি সমাজে মিংকৌ নাম রাখার নিয়মাবলী কী?,What are the rules for giving a Mingkau name in Bishnupriya Manipuri society?
বিষ্ণুপ্রিয়া মণিপুরি সাহিত্য ও সংস্কৃতি পোর্টাল,Bishnupriya Manipuri literature and culture portal
বিষ্ণুপ্রিয়া মণিপুরিদের অন্যান্য প্রধান সামাজিক ও ধর্মীয় উৎসব কী কী?,What other main social and religious festivals do the Bishnupriya Manipuris have?
বিষ্ণুপ্রিয়া মণিপুরী,Bishnupriya Manipuri
বিষ্ণুপ্রিয়া মণিপুরী / Bishnupriya Manipuri,Bishnupriya Manipuri
ব্যবহারকারীর পাতা,User page
ব্যবহারকারীর প্রশ্ন / নির্দেশ: {1},User question / instruction: {1}
ব্যবহারকারীর প্রশ্ন: {1},User question: {1}
ব্রাউজারে খুলুন,Open in the browser
ভজন,Bhajan
ভয়েস ইঞ্জিন প্রস্তুত করা যায়নি।,The voice engine could not be prepared.
ভয়েস থামান,Stop the voice
ভয়েস পুনরায় চালু করুন,Start the voice again
ভয়েস শুনুন,Listen to the voice
ভলিউম {1}%,Volume {1}%
ভাষা,Language
ভাষা আন্দোলন,Language movement
ভাষা ফাইল আনতে শুরু হয়েছে।,Fetching the language file.
ভাষা ফাইল আনা যায়নি ({1})।,Could not fetch the language file ({1}).
ভাষা বাছাই করুন,Choose the language
ভিউ,Views
ভিউয়ের তথ্য এখনো পাওয়া যায়নি।,The view information could not be fetched yet.
ভিডিও,Videos
ভিডিও আর্কাইভে নতুন সংযোজন,New additions to the video archive
ভিডিও চালান,Play the video
ভিডিও দেখুন,Watch the video
ভুমিকা,Introduction
ভূমিকা,Introduction
মডারেটর,Moderator
মণিপুরি রাসলীলায় গোপী ও কৃষ্ণের বেশভূষার বৈশিষ্ট্য কী?,What are the features of the Gopi and Krishna costumes in the Manipuri Raslila?
মণিপুরি সমাজে 'মিংকৌ' নামপ্রথা কী?,What is the 'Mingkau' naming custom in Manipuri society?
মণিপুরি সমাজের ঐতিহ্যবাহী 'ইঞ্চৌঘর' কী?,What is the traditional 'ইঞ্চৌঘর' of Manipuri society?
মণিপুরী ব্যান্ড,Manipuri band
মন্তব্য,Comments
মন্তব্য আবশ্যক।,A comment is required.
মন্তব্য ও পাঠক রচনা পর্যালোচনা,Review comments and reader writing
মন্তব্য করিক,Comment
মন্তব্য করুন,Comment
মন্তব্য জমা দিন,Submit the comment
মন্তব্য জমা হয়েছে। অনুমোদনের পর প্রকাশিত হবে।,The comment is submitted. It appears after approval.
মন্তব্য জমা হয়েছে। অনুমোদনের পর প্রকাশিত হবে। তবে এই ডিভাইসে আপনার তথ্য মনে রাখা যায়নি।,The comment is submitted. It appears after approval. Your details could not be kept on this device though.
মন্তব্য তালিকা লোড হয়নি ({1}),The comment list did not load ({1})
মন্তব্য পাঠানি ইল। পর্যালোচনার পর প্রকাশ অইতই।,The comment was sent. It appears after review.
মন্তব্য পাঠানো হচ্ছে...,Sending the comment...
মন্তব্য প্রকাশিত হয়েছে,The comment is published
মহারাস,Maharas
মহারাস ও রাখাল রাসের বিশেষত্ব কী?,What is special about Maharas and Rakhal Ras?
"মহারাস, নিত্যরাস ও রাখাল রাসের মধ্যে পার্থক্য কী?","What is the difference between Maharas, Nityaras and Rakhal Ras?"
মার্চ,March
মিংকৌ,Mingkau
মিংকৌ এবং মূল নামের মধ্যে সামাজিক পার্থক্য ও প্রয়োগ কী?,What is the social difference and use between the Mingkau and the given name?
মিংকৌ প্রথা,The Mingkau custom
মিনিট,Minutes
মুছুন,Clear
মুছে ফেলবেন?,Delete it?
মুছে ফেলুন,Delete
মূল তাক,Main shelf
মূল বিষয়,Main points
মূল লেখা,Original writing
মে,May
মেনু,Menu
মেমরি ও অফলাইন ক্যাশ ব্যবস্থাপনা,Memory and offline cache management
মোট {1} · শেষ {2} দিনে {3},Total {1} · in the last {2} days {3}
মোট {1}টি জমা,{1} submitted in all
মোট পয়েন্ট,Total points
মোট ভিউ,Total views
মোটা,Bold
যাচাইকৃত লেখক,Verified writer
যান,Go
যুব,Youth
যে কোনো প্রবন্ধের কার্ডে বা পড়ার সময় বুকমার্ক আইকনে চাপ দিলে তা এখানে সংরক্ষিত থাকবে।,"Tap the bookmark icon on any article card, or while reading, and it is kept here."
যে রঙে অ্যাপটি পড়তে চান সেটি বেছে নিন — প্রতিটি প্যালেটে লাইট ও ডার্ক দুটি রূপ আছে।,Pick the colour you want to read the app in — every palette has a light and a dark form.
যেকোনো বিষয়ে প্রশ্ন করুন...,Ask about anything...
যোগ করুন,Add
যোগাযোগ করুন,Contact us
রক,Rock
রকমারি,Varied
রঙের প্যালেট,Colour palette
রাখুয়াল,Rakhual
রাতের মোড,Night mode
রাস,Ras
রাস উৎসবে ব্যবহৃত মণিপুরি মৃদঙ্গ ও খোল বাদ্যযন্ত্রের বিশেষত্ব কী?,What is special about the Manipuri Mridanga and Khol instruments played at the Ras festival?
রাসলীলা,Raslila
রিপিট,Repeat
রিফ্রেশ,Refresh
রিমিক্স,Remix
রিলোড,Reload
রিসেট,Reset
লগ আউট,Log out
লাইক,Like
লাইক {1} ·,Like {1} ·
লাইট,Light
লাইনের ফাঁক (Line Spacing),Line spacing
লাইভ প্রিভিউ (কালপুরুষ ফন্ট):,Live preview (Kalpurush font):
লিরিক,Lyrics
লেখক,Writer
লেখক {1}-এর অন্যান্য উল্লেখযোগ্য প্রবন্ধ ও গ্রন্থ কী কী?,What other notable articles and books has {1} written?
লেখক এখানে কোন কোন দিককে বেশি গুরুত্ব দিয়েছেন?,Which aspects does the author give more weight to here?
লেখক • নিংশিং চে,Writer • Ningshing Che
লেখকবৃন্দ,Writers
লেখকের রচনাবলী,The author's works
লেখা জমা না হওয়া পর্যন্ত এখানে সংরক্ষিত থাকে — ফিরে এলে যা লিখেছিলেন তাই পাবেন।,It stays saved here until the writing is submitted — come back and you get back what you wrote.
লেখা জমা যায়নি ({1})। প্রোফাইল সম্পূর্ণ করে আবার চেষ্টা করুন।,The writing could not be submitted ({1}). Complete your profile and try again.
লেখা জমা যায়নি।,The writing could not be submitted.
লেখা জমা হয়েছে,Writing submitted
লেখা জমা হয়েছে। সম্পাদকীয় পর্যালোচনার পর প্রকাশিত হবে।,The writing is submitted. It is published after editorial review.
লেখা জমাদান,Submit writing
"লেখা নির্বাচন করলে মোটা, বাঁকা, নিচে দাগ, কপি, কাট ও পেস্ট দেখাবে। ছবি ImgBB-তে আপলোড হয়।","Selecting text shows bold, italic, underline, copy, cut and paste. Photos upload to ImgBB."
লেখা বন্ধ করুন,Close the editor
"লেখা লিখুন… নির্বাচন করলে মোটা, বাঁকা, নিচে দাগ, কপি, কাট ও পেস্ট আসবে।","Write here… selecting text brings up bold, italic, underline, copy, cut and paste."
লেখা সম্পাদকীয় পর্যালোচনার পর প্রকাশিত হবে। শিরোনাম ও মূল লেখা জমা দেওয়া পর্যন্ত সংরক্ষিত থাকবে।,The writing is published after editorial review. The title and the body stay saved until they are submitted.
লোকগীতি,Folk songs
লোড হচ্ছে…,Loading…
শর্তাবলী,Terms
শহীদ,Martyr
শহীদ সুদেষ্ণা সিংহ ছাড়া আর কারা ভাষা আন্দোলনে ভূমিকা রেখেছিলেন?,"Besides Shaheed Sudeshna Singha, who else played a part in the language movement?"
শহীদ সুদেষ্ণা সিংহের আত্মত্যাগ সম্পর্কে বলুন,Tell me about the sacrifice of Shaheed Sudeshna Singha
শাফেল,Shuffle
শিরোনাম,Title
শিরোনাম অন্তত ৪ অক্ষরের হতে হবে।,The title must be at least 4 characters.
শিরোনাম আবশ্যক।,The title is required.
শিরোনাম ও লেখা আবশ্যক।,Title and writing are required.
শিরোনাম ১৬০ অক্ষরের বেশি হতে পারবে না।,The title cannot be longer than 160 characters.
শিরোনামহীন,Untitled
শিরোনামহীন আলোচনা,Untitled discussion
শিল্পী,Artist
শিশু,Children
শীর্ষ উত্তর,Top answer
শুধু ছবি ও পিডিএফ ফাইল যুক্ত করা যাবে।,Only photo and PDF files can be attached.
শুধুমাত্র এই নিবন্ধের তথ্যের ভিত্তিতে উত্তর প্রদান করা হয়,The answer is given only from this article's own information
শুনুন,Listen
শুরু করুন,Start
শেয়ার,Share
শেয়ার করুন,Share
শেষ {1} দিন,Last {1} days
শেষ উত্তর,Last answer
শেষ ছয় মাসে কোনো কার্যক্রম নেই।,No activity in the last six months.
শেষ ৬ মাস,Last 6 months
শেষ ৬ মাসে মোট {1}টি,{1} in all in the last 6 months
শোনা {1} মিনিট,{1} minutes listened
শোনা মিনিট,Minutes listened
সংক্রান্তি,Sankranti
সংক্ষেপ,Summary
সংযুক্তি,Attachment
সংযুক্তি সরান,Remove the attachment
সংযুক্তি ২০০ এমবি-র বেশি হতে পারে না।,The attachment cannot be larger than 200 MB.
সংযুক্তি.pdf,attachment.pdf
সংরক্ষণ করুন,Save
সংরক্ষণ বাতিল করুন,Cancel the save
সংরক্ষণ ব্যর্থ: {1},Save failed: {1}
সংরক্ষণ যায়নি ({1})। লিংক মেয়াদ শেষ হতে পারে।,Could not save ({1}). The link may have expired.
সংরক্ষণ সরানো হয়েছে,The save was removed
সংরক্ষণ হচ্ছে...,Saving...
সংরক্ষিত,Saved
সংরক্ষিত তথ্য লোড হচ্ছে...,Loading the saved data...
সংরক্ষিত তালিকার মধ্যে খুঁজুন...,Search within the saved list...
সংরক্ষিত প্রবন্ধ,Saved articles
সংস্করণ {1} • সাইজ: {2},Version {1} • size: {2}
সংস্করণ ১.০.০ (অফিশিয়াল সংস্করণ),Version 1.0.0 (official release)
সংস্কৃতি,Culture
সংস্কৃতি ও উৎসব,Culture and festivals
সংস্কৃতির আলোয় পথচলা…,Walking on in the light of culture…
সকল PDF,All PDFs
সকল কন্টেন্ট তৈরি ও সম্পাদনার অনুমতি,Permission to create and edit all content
"সকল ক্ষমতা, সেটিংস ও মুছে ফেলার পূর্ণ নিয়ন্ত্রণ","Full control of every power, the settings and deletion"
সঙ্গীত,Music
সঠিক ইমেইল দিন অথবা ঐচ্ছিক ঘরটি খালি রাখুন।,"Enter a correct email, or leave the optional field empty."
সব,All
সব উত্তর দেখুন ({1}),See all the answers ({1})
সব গান,All songs
সব চালান,Play all
সব দেখুন,See all
সব বিজ্ঞপ্তি,All notifications
সব ভিডিও,All videos
সব সংরক্ষিত,All saved
সবুজ পাতা আর অলিভ-সোনালি,Green leaf and olive-gold
সময়,Time
সময়ের সাথে ভিউ,Views over time
সমাজ,Society
সমাজ ও সংস্কৃতি,Society and culture
সমাজ-ও-সংস্কৃতি,Society-and-culture
সম্পর্কিত জিজ্ঞাসা (সরাসরি উত্তর জানতে ট্যাপ করুন):,Related questions (tap to get the answer straight away):
সম্পর্কিত জিজ্ঞাসা:,Related questions:
সম্পর্কিত প্রশ্ন:,Related questions:
সম্পাদক,Editor
সম্পাদকীয়,Editorial
সম্পাদকীয়,Editorial
সম্পাদনা,Edit
সম্পাদনা সংরক্ষণ হয়নি।,The edit was not saved.
সরাত,Sarat
সরান,Remove
সর্বশেষ আপডেট পেতে আমাদের অ্যাপটি ডাউনলোড করুন,Download our app to get the latest updates
সর্বোচ্চ {1},Up to {1}
সাইট হালনাগাদ,Site updates
সাইটম্যাপ,Sitemap
